date,winner_short,loser_short,atp,location,tournament,series,court,surface_x,round_x,best of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,comment,b365w,b365l,exw,exl,lbw,lbl,psw,psl,sjw,sjl,maxw,maxl,avgw,avgl,source_file,source_year,bfew,bfel,b365w_prob,b365l_prob,b365w_prob_norm,b365l_prob_norm,rank_diff,match_date,surface_y,round_y,elo_global_w_before,elo_global_l_before,elo_global_diff,elo_surface_w_before,elo_surface_l_before,elo_surface_diff,h2h_w_before,h2h_l_before,h2h_diff,wins_last5,wins_last10,winpct_last10,date_diff,elo_implied_prob
2010-11-26,djokovic n,roddick a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,djokovic n.,roddick a.,3.0,8.0,5635.0,3665.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.38,3.0,1.4,2.75,1.36,3.0,1.48,2.92,1.44,2.75,1.48,3.15,1.4,2.88,2010.xls,2010,,,0.7246376811594204,0.3333333333333333,0.6849315068493151,0.3150684931506849,5.0,2010-11-21,Hard,RR,1757.8884667384543,1616.2286333131044,141.65983342534992,1801.9666219083492,1679.501316362638,122.46530554571154,2.0,4.0,-2.0,2.0,6.0,0.6,5.0,0.6932716798837553
2010-11-26,nadal r,berdych t,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,nadal r.,berdych t.,1.0,6.0,11450.0,3755.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,4.25,1.2,4.33,1.22,5.01,1.2,4.5,1.25,5.25,1.19,4.57,2010.xls,2010,,,0.8620689655172414,0.2,0.8116883116883117,0.1883116883116883,5.0,2010-11-21,Hard,RR,1819.838612897208,1500.044937078296,319.7936758189121,1788.186371212944,1492.5160131424554,295.6703580704884,8.0,3.0,5.0,3.0,8.0,0.8,5.0,0.8630527947856494
2010-11-27,federer r,djokovic n,65,London,Masters Cup,Masters Cup,Indoor,Hard,Semifinals,3.0,federer r.,djokovic n.,2.0,3.0,7645.0,5635.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.38,3.0,1.4,2.8,1.44,2.63,1.42,3.18,1.36,3.0,1.5,3.24,1.4,2.92,2010.xls,2010,,,0.7246376811594204,0.3333333333333333,0.6849315068493151,0.3150684931506849,1.0,2010-11-21,Hard,SF,1828.647099189792,1754.69644713936,73.9506520504317,1871.9501419390176,1794.6549985961085,77.29514334290911,11.0,6.0,5.0,5.0,9.0,0.9,6.0,0.6048450092509378
2010-11-27,nadal r,murray a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Semifinals,3.0,nadal r.,murray a.,1.0,5.0,11450.0,5360.0,7.0,6.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.62,1.5,2.5,1.5,2.5,1.53,2.74,1.53,2.5,1.65,2.75,1.52,2.5,2010.xls,2010,,,0.6666666666666666,0.381679389312977,0.6359223300970874,0.3640776699029127,4.0,2010-11-21,Hard,SF,1820.0703888195596,1732.3217474795367,87.74864134002269,1798.9169136093828,1767.1578808535698,31.759032755813,8.0,3.0,5.0,4.0,8.0,0.8,6.0,0.6236622122955953
2010-11-28,federer r,nadal r,65,London,Masters Cup,Masters Cup,Indoor,Hard,The Final,3.0,federer r.,nadal r.,2.0,1.0,7645.0,11450.0,6.0,3.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.25,1.65,2.15,1.62,2.2,1.69,2.33,1.62,2.25,1.72,2.41,1.65,2.22,2010.xls,2010,,,0.6211180124223602,0.4444444444444444,0.582901554404145,0.4170984455958549,-1.0,2010-11-21,Hard,F,1813.2733578705715,1839.0964999966468,-25.82314212607525,1859.880801144964,1814.660796000582,45.220005144382185,7.0,14.0,-7.0,4.0,9.0,0.9,7.0,0.4629057913409172
2011-11-20,federer r,tsonga j,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,tsonga j.w.,4.0,6.0,6670.0,3535.0,6.0,2.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.16,5.0,1.2,4.25,1.22,4.33,1.21,5.1,1.2,4.5,1.22,5.2,1.19,4.62,2011.xls,2011,,,0.8620689655172414,0.2,0.8116883116883117,0.1883116883116883,2.0,2011-11-20,Hard,F,1869.6241821754536,1710.353731226014,159.2704509494397,1898.3722067526664,1725.5498462537566,172.82236049890955,6.0,3.0,3.0,5.0,10.0,1.0,0.0,0.7143966571541461
2011-11-20,nadal r,fish m,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,nadal r.,fish m.,2.0,8.0,9375.0,2965.0,6.0,2.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.18,4.5,1.17,4.55,1.17,4.5,1.22,5.01,1.22,4.0,1.25,5.2,1.2,4.5,2011.xls,2011,,,0.8474576271186441,0.2222222222222222,0.7922535211267606,0.2077464788732394,6.0,2011-11-20,Hard,RR,1775.267354384246,1617.479265988001,157.7880883962448,1743.896766184196,1646.950697108639,96.94606907555726,7.0,1.0,6.0,3.0,7.0,0.7,0.0,0.7126524203162721
2011-11-21,djokovic n,berdych t,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,djokovic n.,berdych t.,1.0,7.0,13475.0,3300.0,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.3,3.4,1.35,3.0,1.3,3.5,1.33,3.75,1.44,2.75,1.44,3.79,1.34,3.22,2011.xls,2011,,,0.7692307692307692,0.2941176470588235,0.7234042553191489,0.2765957446808511,6.0,2011-11-20,Hard,RR,1937.3229628582512,1669.5802048697938,267.74275798845747,1943.296864021842,1704.9395090899984,238.3573549318437,5.0,1.0,4.0,3.0,7.0,0.7,1.0,0.8236465404714806
2011-11-21,ferrer d,murray a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,ferrer d.,murray a.,5.0,3.0,4480.0,7380.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,6.0,1.12,5.0,1.15,5.0,1.17,5.53,1.19,5.5,1.14,6.25,1.2,5.38,1.15,2011.xls,2011,,,0.1666666666666666,0.8928571428571428,0.1573033707865168,0.8426966292134831,-2.0,2011-11-20,Hard,RR,1660.9022009960995,1811.8816688306715,-150.97946783457178,1673.2589433521362,1815.599970725551,-142.34102737341482,3.0,5.0,-2.0,3.0,7.0,0.7,1.0,0.2954400091573198
2011-11-22,federer r,nadal r,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,nadal r.,4.0,2.0,6670.0,9375.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.4,2.8,1.44,2.75,1.44,3.06,1.4,2.88,1.48,3.15,1.43,2.78,2011.xls,2011,,,0.6944444444444444,0.3636363636363636,0.6563245823389022,0.3436754176610979,-2.0,2011-11-20,Hard,RR,1858.604569949733,1789.9355066866028,68.66906326313028,1890.1606705894303,1755.7542172352564,134.40645335417412,8.0,17.0,-9.0,5.0,10.0,1.0,2.0,0.597555725135298
